"","species_ID","species_name"
"330",8704,"Funambulus tristriatus"
"331",7577,"Eligmodontia moreni"
"332",12835,"Marmota marmota"
"341",42468,"Spermophilus lateralis"
"345",136580,"Rattus blangorum"
"346",20001,"Sciurus deppei"
"347",41785,"Cervus elaphus"
"405",10604,"Hylopetes nigripes"
"407",12946,"Megaerops ecaudatus"
"411",136734,"Cryptotis peruviensis"
"412",9096,"Gerbillus acticola"
"413",5805,"Ctenomys frater"
"415",15646,"Otomops wroughtoni"
"418",6267,"Dasycercus blythi"
"419",6294,"Dasyurus geoffroii"
"420",13449,"Microtus oaxacensis"
"421",39803,"Presbytis chrysomelas"
"427",40032,"Arielulus torquatus"
"428",10751,"Hystrix indica"
"433",41427,"Sorex veraepacis"
"437",41772,"Sus barbatus"
"451",6432,"Dendrolagus lumholtzi"
"452",18702,"Pteromys volans"
"458",4975,"Myodes rutilus"
"496",1896,"Apodemus hyrcanicus"
"498",40547,"Sminthopsis murina"
"501",12421,"Lutra sumatrana"
"528",269,"Acomys minous"
"529",5588,"Crocidura zimmermanni"
"530",20016,"Sciurus niger"
"551",21140,"Suncus remyi"
"552",2613,"Bassariscus sumichrasti"
"554",6774,"Dobsonia emersa"
"556",9142,"Gerbillus principulus"
"557",136796,"Lepilemur otto"
"558",40539,"Pseudantechinus woolleyae"
"559",41514,"Petrogale godmani"
"560",15793,"Oxymycterus hiska"
"561",136270,"Crocidura arispa"
"563",41482,"Talpa levantis"
"565",21142,"Suncus dayi"
"569",22065,"Tragulus nigricans"
"573",4220,"Cercopithecus lhoesti"
"580",29622,"Mazama pandora"
"581",42573,"Tamias ochrogenys"
"582",136798,"Cynopterus luzoniensis"
"624",3615,"Calomys musculinus"
"666",136460,"Meriones grandis"
"667",13692,"Monodelphis americana"
"668",18296,"Proechimys quadruplicatus"
"669",19364,"Rattus steini"
"673",6226,"Dactylopsila trivirgata"
"685",135161,"Sooretamys angouya"
"686",14192,"Myotis pruinosus"
"701",19338,"Rattus koopmani"
"702",1913,"Apomys littoralis"
"703",18733,"Pteropus lombocensis"
"711",7919,"Vespadelus caurinus"
"725",3330,"Bunomys fratrorum"
"726",5754,"Fukomys foxi"
"727",18164,"Prionomys batesi"
"728",2815,"Bison bison"
"747",10274,"Hyaena hyaena"
"750",6675,"Dipodomys elator"
"752",12142,"Litocranius walleri"
"753",16569,"Perameles bougainville"
"758",41779,"Moschiola meminna"
"759",19377,"Ratufa bicolor"
"784",4422,"Chalinolobus picatus"
"785",21512,"Gerbilliscus guineae"
"786",41429,"Episoriculus fumidus"
"787",136401,"Miniopterus sororculus"
"788",19321,"Rattus annandalei"
"793",42591,"Orthogeomys lanius"
"794",4338,"Chaetodipus spinatus"
"806",8246,"Eumops maurus"
"807",11792,"Lepus callotis"
"811",14930,"Nycteris hispida"
"817",41561,"Callicebus bernhardi"
"818",19415,"Reithrodontomys rodriguezi"
"819",39255,"Rupicapra rupicapra"
"984",4807,"Chrotomys gonzalesi"
"986",10972,"Kerivoula eriophora"
"987",13845,"Mops niveiventer"
"988",136511,"Cerradomys marinhus"
"989",19515,"Rhinolophus blasii"
"1006",23178,"Zaedyus pichiy"
"1007",10107,"Hipposideros papua"
"1013",948,"Alticola albicaudus"
"1015",136539,"Monticolomys koopmani"
"1018",42639,"Synaptomys cooperi"
"1021",7782,"Eolagurus luteus"
"1024",39761,"Nycticebus javanicus"
"1025",136678,"Myotis dieteri"
"1026",19571,"Rhinolophus subrufus"
"1035",41546,"Alouatta sara"
"1036",9100,"Gerbillus nancillus"
"1037",5829,"Ctenomys torquatus"
"1038",41317,"Crocidura cinderella"
"1039",42617,"Myodes gapperi"
"1043",39751,"Microcebus ravelobensis"
"1044",23147,"Xerus rutilus"
"1047",136500,"Presbytis natunae"
"1048",18753,"Pteropus pumilus"
"1065",3617,"Calomys tener"
"1066",40526,"Antechinus stuartii"
"1067",10754,"Hystrix sumatrae"
"1068",40631,"Crocidura fuliginosa"
"1069",12832,"Marmota sibirica"
"1071",136245,"Thrichomys pachyurus"
"1072",6676,"Dipodomys gravipes"
"1073",2531,"Balantiopteryx infusca"
"1075",41645,"Ictonyx libyca"
"1081",7806,"Eozapus setchuanus"
"1082",5792,"Ctenodactylus gundi"
"1083",273,"Acomys russatus"
"1085",12941,"Megadontomys nelsoni"
"1086",43891,"Chiropotes chiropotes"
"1087",13961,"Mus fernandoni"
"1091",16690,"Peromyscus slevini"
"1092",17327,"Pipistrellus anthonyi"
"1093",29680,"Vormela peregusna"
"1100",20014,"Sciurus lis"
"1104",29668,"Sorex raddei"
"1105",41769,"Hylochoerus meinertzhageni"
"1128",42620,"Dicrostonyx nelsoni"
"1131",41490,"Dendrogale murina"
"1134",731,"Akodon dayi"
"1135",136330,"Nesomys lambertoni"
"1136",41316,"Amblysomus hottentotus"
"1137",45071,"Otomys burtoni"
"1138",136448,"Natalus espiritosantensis"
"1139",39948,"Saguinus imperator"
"1141",5706,"Crunomys melanius"
"1144",6293,"Dasypus septemcinctus"
"1145",136808,"Pseudomys calabyi"
"1146",4658,"Chionomys gud"
"1154",136601,"Ctenomys fodax"
"1155",2827,"Blarinomys breviceps"
"1156",18358,"Propithecus diadema"
"1158",10752,"Hystrix javanica"
"1165",954,"Alticola roylei"
"1166",41385,"Sorex arcticus"
"1167",136785,"Rattus omichlodes"
"1168",15615,"Transandinomys talamancae"
"1172",16981,"Philetor brachypterus"
"1192",2396,"Loxodontomys micropus"
"1198",8204,"Eulemur albifrons"
"1200",136564,"Otomops madagascariensis"
"1205",13435,"Neodon irene"
"1206",16719,"Petaurista elegans"
"1216",199835,"Thylamys citellus"
"1217",20482,"Spermophilus dauricus"
"1218",41373,"Cryptotis meridensis"
"1219",13237,"Mesomys stimulax"
"1220",10110,"Hipposideros armiger"
"1226",18509,"Pseudochirulus herbertensis"
"1228",44792,"Glauconycteris curryae"
"1229",14699281,"Callicebus caquetensis"
"1230",136733,"Crocidura indochinensis"
"1235",9458,"Grammomys macmillani"
"1238",11345,"Lasiurus cinereus"
"1257",1141,"Ammodorcas clarkei"
"1260",41336,"Crocidura maxi"
"1302",4417,"Chalinolobus gouldii"
"1309",12814,"Marmosa lepida"
"1317",12913,"Mazama chunyi"
"1318",15310,"Leopardus geoffroyi"
"1319",22842,"Vampyrodes caraccioli"
"1321",18701,"Pteromys momonga"
"1325",21515,"Gerbilliscus kempi"
"1326",17882,"Pogonomys championi"
"1327",20473,"Spermophilus brunneus"
"1332",20017,"Sciurus oculatus"
"1333",22041,"Trachypithecus pileatus"
"1337",4806,"Chrotogale owstoni"
"1338",136241,"Monodelphis umbristriatus"
"1341",19411,"Reithrodontomys mexicanus"
"1344",9737,"Harpiocephalus mordax"
"1351",13491,"Microtus savii"
"1354",39760,"Nycticebus menagensis"
"1361",40568,"Onychogalea unguifera"
"1363",136392,"Monodelphis reigi"
"1365",44722,"Loris lydekkerianus"
"1370",6567,"Dicrostonyx nunatakensis"
"1371",23146,"Xerus princeps"
"1372",136738,"Sphiggurus melanurus"
"1373",14326,"Spalax ehrenbergi"
"1377",14604,"Nesotragus moschatus"
"1381",29651,"Crocidura leucodon"
"1384",9976,"Hesperoptenus doriae"
"1386",9116,"Gerbillus dasyurus"
"1387",14175,"Myotis longipes"
"1393",21328,"Taeromys arcuatus"
"1394",18762,"Pteropus temminckii"
"1397",40776,"Arielulus societatis"
"1398",556,"Aeromys tephromelas"
"1404",40576,"Cercartetus concinnus"
"1407",6773,"Dobsonia chapmani"
"1410",12264,"Lonchophylla dekeyseri"
"1411",13637,"Cynomops abrasus"
"1412",136441,"Nyctimene keasti"
"1421",39591,"Myodes rex"
"1429",20395,"Sorex stizodon"
"1430",4316,"Chaerephon plicatus"
"1462",136318,"Sorex arunchi"
"1464",62006,"Amblysomus corriae"
"1465",136227,"Philander deltae"
"1466",16730,"Petaurus australis"
"1478",12273,"Lonchorhina orinocensis"
"1479",21516,"Gerbilliscus leucogaster"
"1480",42655,"Spalax zemni"
"1481",8763,"Funisciurus substriatus"
"1482",41501,"Tupaia tana"
"1495",4679,"Chiropodomys calamianensis"
"1515",5613,"Crocidura palawanensis"
"1517",21769,"Thomasomys aureus"
"1520",14147,"Myotis austroriparius"
"1521",20429,"Spalax giganteus"
"1522",40564,"Macropus parryi"
"1524",13168,"Meriones sacramenti"
"1525",15598,"Handleyomys intectus"
"1526",44172,"Tragelaphus derbianus"
"1529",5793,"Ctenodactylus vali"
"1531",12308,"Lophiomys imhausi"
"1535",15629,"Osgoodomys banderanus"
"1536",21988,"Lophostoma silvicolum"
"1538",8762,"Funisciurus pyrropus"
"1542",10983,"Kerivoula pellucida"
"1549",42572,"Tamias minimus"
"1550",19606,"Rhipidomys caucensis"
"1551",19824,"Saguinus tripartitus"
"1552",39314,"Pattonomys occasius"
"1554",41326,"Crocidura lamottei"
"1555",13439,"Phaiomys leucurus"
"1556",1307,"Anisomys imitator"
"1558",14934,"Nycteris major"
"1560",20072,"Scotophilus robustus"
"1561",41636,"Spilogale putorius"
"1564",44165,"Poiana leightoni"
"1568",14142,"Myotis annectans"
"1573",18715,"Pteropus alecto"
"1628",1890,"Apodemus chevrieri"
"1631",18386,"Protoxerus stangeri"
"1635",18550,"Pseudomys fumeus"
"1642",3326,"Bunolagus monticularis"
"1643",136529,"Hylaeamys perenensis"
"1644",39925,"Lagothrix cana"
"1646",11493,"Lemniscomys rosalia"
"1650",136654,"Taeromys microbullatus"
"1651",13977,"Mus phillipsi"
"1652",21809,"Thomomys idahoensis"
"1654",39838,"Semnopithecus hypoleucos"
"1655",10550,"Hylobates moloch"
"1656",39832,"Semnopithecus entellus"
"1658",10879,"Isothrix pagurus"
"1659",136828,"Nyctalus plancyi"
"1666",13703,"Monodelphis unistriatus"
"1667",41372,"Cryptotis goodwini"
"1668",18507,"Pseudochirulus caroli"
"1669",17037,"Phodopus sungorus"
"1671",18298,"Trinomys setosus"
"1672",10589,"Hylomys parvus"
"1673",12891,"Maxomys alticola"
"1674",16023,"Pappogeomys alcorni"
"1677",40641,"Pseudochirulus schlegeli"
"1678",14591,"Neotoma micropus"
"1679",20024,"Sciurus variegatoides"
"1680",20213,"Sigmodon hispidus"
"1683",13974,"Mus orangiae"
"1684",17359,"Falsistrellus petersi"
"1692",14170,"Myotis keaysi"
"1696",40624,"Crocidura crossei"
"1697",40552,"Isoodon macrourus"
"1714",12795,"Margaretamys beccarii"
"1715",13945,"Murina rozendaali"
"1717",16666,"Peromyscus gymnotis"
"1718",44695,"Nycteris parisii"
"1720",41412,"Sorex portenkoi"
"1721",859,"Allactaga sibirica"
"1723",20006,"Sciurus aureogaster"
"1725",13436,"Neodon juldaschi"
"1727",19617,"Rhipidomys venustus"
"1729",22732,"Panthera uncia"
"1732",40602,"Atelerix albiventris"
"1733",14208,"Myotis velifer"
"1735",15953,"Panthera onca"
"1783",41368,"Crocidura zaphiri"
"1786",8542,"Felis nigripes"
"1787",12560,"Macaca sinica"
"1790",13379,"Micronycteris megalotis"
"1796",13940,"Murina fusca"
"1797",13972,"Mus musculus"
"1829",16747,"Petrogale persephone"
"1832",1899,"Apodemus peninsulae"
"1838",40766,"Nilopegamys plumbeus"
"1839",16971425,"Microcebus macarthurii"
"1840",569,"Aethomys chrysophilus"
"1843",136822,"Thomasomys cinnameus"
"1844",40507,"Marmosa rubra"
"1845",21770,"Thomasomys baeops"
"1846",2787,"Bettongia tropica"
"1850",136427,"Lophostoma yasuni"
"1851",2770,"Berylmys manipulus"
"1852",42603,"Dipodomys microps"
"1853",4601,"Cheiromeles torquatus"
"1863",136325,"Eliurus ellermani"
"1865",41679,"Potos flavus"
"1867",41453,"Blarina hylophaga"
"1868",5814,"Ctenomys mendocinus"
"1869",18339,"Prometheomys schaposchnikowi"
"1874",41266,"Ochotona pallasi"
"1886",9145,"Gerbillus pyramidum"
"1887",136526,"Rattus arfakienis"
"1888",12356,"Lophuromys sikapusi"
"1890",41277,"Lepus capensis"
"1914",15784,"Oxymycterus delator"
"1916",3555,"Callicebus personatus"
"1917",136214,"Sciurocheirus gabonensis"
"1919",17877,"Pogonomelomys bruijnii"
"1921",5593,"Crocidura selina"
"1923",10911,"Jaculus blanfordi"
"1928",41349,"Crocidura parvipes"
"1929",13128,"Melomys obiensis"
"1931",3333,"Bunomys prolatus"
"1932",4989,"Clyomys laticeps"
"1933",13645,"Molossus aztecus"
"1941",19527,"Rhinolophus borneensis"
"1961",41399,"Sorex haydeni"
"1962",41598,"Dologale dybowskii"
"1965",136689,"Calomys expulsus"
"1966",136459,"Proedromys liangshanensis"
"1967",41377,"Cryptotis parva"
"1971",754,"Abrothrix sanborni"
"1972",12816,"Marmosa tyleriana"
"1975",45096,"Stenocephalemys ruppi"
"1976",13426,"Microtus agrestis"
"2026",19347,"Rattus mollicomulus"
"2027",6282,"Dasyprocta guamara"
"2028",730,"Akodon cursor"
"2030",18729,"Pteropus hypomelanus"
"2120",41375,"Cryptotis montivaga"
"2121",41340,"Crocidura mutesae"
"2123",136795,"Cryptotis colombiana"
"2124",17356,"Pipistrellus paterculus"
"2128",9245,"Glironia venusta"
"2131",10121,"Hipposideros coronatus"
"2134",136234,"Ctenomys dorbignyi"
"2137",136618,"Soricomys kalinga"
"2138",2135,"Artibeus jamaicensis"
"2158",10138,"Hipposideros hypophyllus"
"2159",16122,"Paraleptomys wilhelmina"
"2161",14179,"Myotis martiniquensis"
"2163",20189,"Sicista kazbegica"
"2165",9492,"Graphiurus rupicola"
"2168",39943,"Callicebus nigrifrons"
"2169",18291,"Proechimys mincae"
"2170",4149,"Cephalophus rufilatus"
"2172",18570,"Pseudomys nanus"
"2191",10595,"Hylomyscus carillus"
"2192",16724,"Petaurista philippensis"
"2208",9140,"Gerbillus perpallidus"
"2209",136765,"Nyctalus furvus"
"2213",21521,"Taterillus arenarius"
"2214",20430,"Spalax microphthalmus"
"2215",3786,"Capra aegagrus"
"2235",15088,"Octodon degus"
"2236",14922,"Nyctalus azoreum"
"2243",16028,"Cratogeomys merriami"
"2244",14098,"Myonycteris relicta"
"2246",2982,"Brachyphylla cavernarum"
"2266",13461,"Microtus bavaricus"
"2267",10162,"Hipposideros speoris"
"2270",10165,"Hipposideros turpis"
"2277",136466,"Cuscomys ashaninka"
"2278",6924,"Atelocynus microtis"
"2279",14869,"Notomys mitchellii"
"2281",136824,"Natalus jamaicensis"
"2284",13840,"Mops demonstrator"
"2285",45093,"Stenocephalemys albipes"
"2289",136680,"Myotis alcathoe"
"2295",16655,"Peromyscus caniceps"
"2296",41495,"Tupaia gracilis"
"2301",40579,"Petauroides volans"
"2305",9978,"Hesperoptenus tickelli"
"2313",9832,"Heliosciurus punctatus"
"2314",10111,"Hipposideros ater"
"2391",136659,"Leptonycteris yerbabuenae"
"2393",9609,"Habromys lepturus"
"2394",5819,"Ctenomys pearsoni"
"2395",18297,"Proechimys semispinosus"
"2397",23091,"Wyulda squamicaudata"
"2401",42678,"Reithrodontomys humulis"
"2402",6821,"Dremomys lokriah"
"2404",11509,"Leopardus pardalis"
"2405",18419,"Psammomys vexillaris"
"2406",41592,"Bdeogale nigripes"
"2407",9089,"Geoxus valdivianus"
"2413",19576,"Rhinolophus yunanensis"
"2417",136233,"Miniopterus paululus"
"2426",23077,"Wilfredomys oenax"
"2428",29655,"Crocidura sicula"
"2433",21161,"Sundasciurus rabori"
"2434",42565,"Sundasciurus davensis"
"2435",15597,"Mindomys hammondi"
"2436",39926,"Lagothrix lugens"
"2439",40037,"Rhinolophus convexus"
"2441",136760,"Chodsigoa sodalis"
"2442",17596,"Plecotus auritus"
"2450",41362,"Crocidura theresae"
"2452",41322,"Crocidura hildegardeae"
"2453",41768,"Phacochoerus africanus"
"2454",21513,"Gerbilliscus inclusus"
"2456",12819,"Marmosops fuscatus"
"2460",4225,"Cercopithecus petaurista"
"2469",11510,"Leopardus tigrinus"
"2471",29679,"Mustela eversmanii"
"2473",42458,"Marmota monax"
"2474",41288,"Lepus townsendii"
"2475",44931,"Plecotus christii"
"2477",5635,"Crocidura macowi"
"2478",11979,"Limnogale mergulus"
"2479",41781,"Tragulus napu"
"2517",136293,"Muntiacus puhoatensis"
"2518",12797,"Margaretamys parvus"
"2520",13960,"Mus famulus"
"2522",13349,"Microgale parvula"
"2526",39957,"Alouatta belzebul"
"2530",41509,"Sminthopsis granulipes"
"2532",40504,"Marmosa mexicana"
"2535",41558,"Callicebus brunneus"
"2536",4671,"Chironectes minimus"
"2549",11384,"Leggadina lakedownensis"
"2554",21160,"Sundasciurus philippinensis"
"2562",136682,"Phyllomys kerri"
"2563",19551,"Rhinolophus malayanus"
"2565",2823,"Blanfordimys afghanus"
"2569",41540,"Aotus nancymaae"
"2570",4627,"Chibchanomys trichotis"
"2572",5566,"Crocidura glassi"
"2575",9736,"Harpiocephalus harpia"
"2598",10131,"Hipposideros durgadasi"
"2599",136247,"Erophylla bombifrons"
"2601",136668,"Dendrolagus mayri"
"2602",136810,"Rhogeessa aeneus"
"2603",14921,"Nyctalus aviator"
"2616",18127,"Presbytis frontata"
"2621",41398,"Sorex gracillimus"
"2635",18355,"Propithecus coquereli"
"2636",136221,"Trinomys gratiosus"
"2637",136490,"Spermophilus brevicauda"
"2638",21135,"Surdisorex polulus"
"2639",7923,"Vespadelus douglasorum"
"2641",29466,"Proechimys gardneri"
"2642",42691,"Mico emiliae"
"2643",9194,"Giraffa camelopardalis"
"2667",136378,"Platyrrhinus matapalensis"
"2668",2893,"Boselaphus tragocamelus"
"2669",8994,"Genetta abyssinica"
"2671",9240,"Glaucomys volans"
"2679",6608,"Dinomys branickii"
"2680",14118,"Eospalax fontanierii"
"2682",12520,"Lynx pardinus"
"2739",44795,"Glauconycteris humeralis"
"2740",136287,"Punomys kofordi"
"2741",14177,"Myotis macrodactylus"
"2751",22933,"Vernaya fulva"
"2753",136681,"Ctenomys yolandae"
"2754",13976,"Mus pahari"
"2757",21514,"Tatera indica"
"2759",12831,"Marmota camtschatica"
"2770",39929,"Callicebus barbarabrownae"
"2771",13486,"Microtus thomasi"
"2775",20221,"Sigmodontomys alfari"
"2776",11346,"Lasiurus blossevillii"
"2778",40527,"Dasykaluta rosamondae"
"2781",136436,"Juscelinomys guaporensis"
"2782",1569,"Anoura luismanueli"
"2783",3519,"Calcochloris obtusirostris"
"2784",740,"Abrothrix lanosus"
"2786",3127,"Bubalus mindorensis"
"2789",12763,"Manis javanica"
"2812",17830,"Podomys floridanus"
"2813",42189,"Muntiacus atherodes"
"2814",12268,"Lonchophylla robusta"
"2817",16720,"Petaurista leucogenys"
"2822",15048,"Ochotona forresti"
"2823",16971364,"Microcebus margotmarshae"
"2824",7623,"Eliurus myoxinus"
"2826",41700,"Genetta servalina"
"2831",5633,"Crocidura harenna"
"2832",18757,"Pteropus samoensis"
"2847",21527,"Taterillus petteri"
"2848",39594,"Paraechinus nudiventris"
"2851",41461,"Euroscaptor longirostris"
"2862",3604,"Callosciurus pygerythrus"
"2864",3621,"Calomyscus mystax"
"2865",21331,"Taeromys hamatus"
"2868",7905,"Epomophorus minimus"
"2873",7010,"Echinoprocta rufescens"
"2874",14817,"Niviventer culturatus"
"2875",41282,"Lepus nigricollis"
"2882",14362,"Natalus tumidirostris"
"2887",12353,"Lophuromys flavopunctatus"
"2912",6103,"Cynopterus brachyotis"
"2921",11482,"Lemmus sibiricus"
"2930",19589,"Rhinonicteris aurantia"
"2934",7926,"Eptesicus floweri"
"2935",136787,"Alouatta puruensis"
"2936",19554,"Rhinolophus mitratus"
"2937",29658,"Neomys fodiens"
"2942",8553,"Feroculus feroculus"
"2946",22054,"Tragelaphus strepsiceros"
"2958",136838,"Cryptotis orophila"
"2959",21174,"Sus verrucosus"
"2977",8166,"Euderma maculatum"
"2979",136363,"Natalus mexicanus"
"2980",44781,"Rhinolophus hilli"
"2981",16018,"Papio papio"
"2982",6860,"Chaetocauda sichuanensis"
"2983",14741,"Neusticomys mussoi"
"2984",6979,"Echimys chrysurus"
"2985",899,"Vulpes lagopus"
"3041",13942,"Murina huttoni"
"3046",6279,"Dasyprocta coibae"
"3047",15617,"Hylaeamys yunganus"
"3048",41506,"Caenolestes fuliginosus"
"3050",10313,"Hydromys neobritannicus"
"3051",18281,"Trinomys dimidiatus"
"3052",41547,"Ateles chamek"
"3053",13494,"Microtus lusitanicus"
"3054",136292,"Histiotus magellanicus"
"3056",14475,"Nectomys squamipes"
"3057",21973,"Tokudaia osimensis"
"3059",5813,"Ctenomys maulinus"
"3060",565,"Aethalops alecto"
"3068",41405,"Sorex monticolus"
"3091",42658,"Elephantulus brachyrhynchus"
"3092",3904,"Carollia castanea"
"3093",41694,"Paradoxurus zeylonensis"
"3098",41356,"Crocidura sibirica"
"3100",11050,"Komodomys rintjanus"
"3106",575,"Aethomys stannarius"
"3107",3787,"Capra falconeri"
"3167",41335,"Crocidura maurisca"
"3169",136410,"Rhinolophus madurensis"
"3171",15609,"Eremoryzomys polius"
"3172",2137,"Artibeus obscurus"
"3173",42651,"Neotoma stephensi"
"3174",14114,"Myosorex sclateri"
"3175",20951,"Sturnira bogotensis"
"3176",41606,"Herpestes sanguineus"
"3179",41622,"Paracynictis selousi"
"3180",10982,"Phoniscus papuensis"
"3185",12650,"Macrotis lagotis"
"3195",5577,"Crocidura monax"
"3199",19485,"Rheomys raptor"
"3201",6929,"Pseudalopex culpaeus"
"3227",20004,"Sciurus alleni"
"3228",39924,"Oreonax flavicauda"
"3231",7017,"Echymipera davidi"
"3232",136298,"Chodsigoa parva"
"3233",23324,"Zyzomys pedunculatus"
"3234",13235,"Mesomys leniceps"
"3235",18713,"Pteropus admiralitatum"
"3291",13388,"Microperoryctes longicauda"
"3294",39250,"Ovis dalli"
"3336",22784,"Urogale everetti"
"3339",6686,"Dipodomys deserti"
"3340",39956,"Chiropotes satanas"
"3341",13638,"Molossops aequatorianus"
"3342",136581,"Spalax uralensis"
"3343",136630,"Dipodomys simulans"
"3345",14936,"Nycteris thebaica"
"3364",18289,"Proechimys longicaudatus"
"3365",19591,"Rhinophylla alethina"
"3366",41628,"Mydaus javanensis"
"3374",41582,"Mico manicorensis"
"3375",20059,"Scotonycteris ophiodon"
"3377",5085,"Coendou prehensilis"
"3379",6569,"Dicrostonyx vinogradovi"
"3380",7579,"Eligmodontia puerulus"
"3381",11340,"Lasiopodomys brandtii"
"3382",10547,"Hylobates klossii"
"3386",42594,"Thomomys bulbivorus"
"3387",20089,"Sekeetamys calurus"
"3389",4226,"Cercopithecus pogonias"
"3400",3921,"Carterodon sulcidens"
"3401",136756,"Nectomys apicalis"
"3403",42569,"Tamias amoenus"
"3405",4037,"Catopuma badia"
"3406",42579,"Tamias senex"
"3407",136312,"Thomasomys praetor"
"3408",13959,"Mus crociduroides"
"3409",15485,"Oreotragus oreotragus"
"3416",14087,"Myomimus roachi"
"3421",17574,"Platyrrhinus vittatus"
"3422",21184,"Syconycteris carolinae"
"3424",5799,"Ctenomys bonettoi"
"3425",8241,"Eumops auripendulus"
"3428",10642,"Hyperacrius fertilis"
"3429",14111,"Myosorex blarina"
"3430",22432,"Tscherskia triton"
"3431",19378,"Ratufa indica"
"3439",4803,"Abrothrix andinus"
"3440",10276,"Hyaena brunnea"
"3443",22052,"Tragelaphus angasii"
"3448",8787,"Galago matschiei"
"3451",512,"Addax nasomaculatus"
"3457",17004,"Phloeomys pallidus"
"3459",41642,"Nomascus nasutus"
"3460",136534,"Styloctenium mindorensis"
"3461",16723,"Petaurista petaurista"
"3473",19802,"Saccolaimus saccolaimus"
"3526",2466,"Baiomys taylori"
"3527",41281,"Lepus mandshuricus"
"3528",4144,"Cephalophus natalensis"
"3530",42633,"Microtus pinetorum"
"3533",136257,"Anourosorex yamashinai"
"3534",20019,"Sciurus pyrrhinus"
"3535",2144,"Arvicanthis abyssinicus"
"3536",16467,"Pedetes capensis"
"3537",19523,"Rhinolophus alcyone"
"3543",21293,"Tachyoryctes macrocephalus"
"3544",22949,"Vespertilio sinensis"
"3559",29673,"Meles meles"
"3565",6091,"Cynomys ludovicianus"
"3566",15087,"Octodon bridgesi"
"3567",136332,"Alouatta nigerrima"
"3569",15243,"Oligoryzomys chacoensis"
"3570",18767,"Pteropus vetulus"
"3572",19567,"Rhinolophus silvestris"
"3573",18352,"Propithecus tattersalli"
"3574",2147,"Arvicanthis niloticus"
"3582",6687,"Dipodomys insularis"
"3583",13123,"Melomys leucogaster"
"3586",41579,"Avahi unicolor"
"3587",136412,"Peromyscus fraterculus"
"3596",5811,"Ctenomys lewisi"
"3597",136667,"Thomasomys apeco"
"3598",1550,"Anomalurus derbianus"
"3601",136229,"Plecotus macrobullaris"
"3611",13846,"Mops petersoni"
"3613",14931,"Nycteris intermedia"
"3615",10112,"Hipposideros beatus"
"3617",1933,"Aproteles bulmerae"
