"","id_no","binomial"
"324",13522,"Millardia gleadowi"
"327",40606,"Paraechinus aethiopicus"
"334",8704,"Funambulus tristriatus"
"335",7577,"Eligmodontia moreni"
"336",12835,"Marmota marmota"
"345",4161,"Cephalorhynchus heavisidii"
"346",42468,"Spermophilus lateralis"
"350",6335,"Delphinapterus leucas"
"355",136580,"Rattus blangorum"
"356",20001,"Sciurus deppei"
"357",41785,"Cervus elaphus"
"415",10604,"Hylopetes nigripes"
"417",12946,"Megaerops ecaudatus"
"421",136734,"Cryptotis peruviensis"
"422",4159,"Cephalorhynchus commersonii"
"424",9096,"Gerbillus acticola"
"425",5805,"Ctenomys frater"
"427",15646,"Otomops wroughtoni"
"430",6267,"Dasycercus blythi"
"431",6294,"Dasyurus geoffroii"
"432",13449,"Microtus oaxacensis"
"433",39803,"Presbytis chrysomelas"
"439",40032,"Arielulus torquatus"
"440",10751,"Hystrix indica"
"445",41427,"Sorex veraepacis"
"449",41772,"Sus barbatus"
"463",6432,"Dendrolagus lumholtzi"
"464",18702,"Pteromys volans"
"470",4975,"Myodes rutilus"
"508",1896,"Apodemus hyrcanicus"
"510",40547,"Sminthopsis murina"
"513",12421,"Lutra sumatrana"
"540",269,"Acomys minous"
"541",5588,"Crocidura zimmermanni"
"542",20016,"Sciurus niger"
"563",21140,"Suncus remyi"
"564",2613,"Bassariscus sumichrasti"
"566",6774,"Dobsonia emersa"
"568",9142,"Gerbillus principulus"
"569",136796,"Lepilemur otto"
"570",181359,"Sotalia guianensis"
"573",40539,"Pseudantechinus woolleyae"
"574",41514,"Petrogale godmani"
"575",15793,"Oxymycterus hiska"
"576",136270,"Crocidura arispa"
"578",41482,"Talpa levantis"
"580",21142,"Suncus dayi"
"584",22065,"Tragulus nigricans"
"588",4220,"Cercopithecus lhoesti"
"595",29622,"Mazama pandora"
"596",42573,"Tamias ochrogenys"
"597",136798,"Cynopterus luzoniensis"
"639",4160,"Cephalorhynchus eutropia"
"640",3615,"Calomys musculinus"
"682",136460,"Meriones grandis"
"683",13692,"Monodelphis americana"
"684",18296,"Proechimys quadruplicatus"
"685",19364,"Rattus steini"
"689",6226,"Dactylopsila trivirgata"
"701",135161,"Sooretamys angouya"
"702",14192,"Myotis pruinosus"
"717",19338,"Rattus koopmani"
"718",1913,"Apomys littoralis"
"719",18733,"Pteropus lombocensis"
"727",7919,"Vespadelus caurinus"
"741",3330,"Bunomys fratrorum"
"742",5754,"Fukomys foxi"
"743",18164,"Prionomys batesi"
"744",2815,"Bison bison"
"763",10274,"Hyaena hyaena"
"766",6675,"Dipodomys elator"
"768",12142,"Litocranius walleri"
"769",16569,"Perameles bougainville"
"774",41779,"Moschiola meminna"
"775",19377,"Ratufa bicolor"
"800",4422,"Chalinolobus picatus"
"801",21512,"Gerbilliscus guineae"
"802",41429,"Episoriculus fumidus"
"803",136401,"Miniopterus sororculus"
"804",19321,"Rattus annandalei"
"809",42591,"Orthogeomys lanius"
"810",4338,"Chaetodipus spinatus"
"822",8246,"Eumops maurus"
"823",11792,"Lepus callotis"
"827",14930,"Nycteris hispida"
"833",41561,"Callicebus bernhardi"
"834",19415,"Reithrodontomys rodriguezi"
"835",39255,"Rupicapra rupicapra"
"1000",4807,"Chrotomys gonzalesi"
"1002",10972,"Kerivoula eriophora"
"1003",13845,"Mops niveiventer"
"1004",136511,"Cerradomys marinhus"
"1005",19515,"Rhinolophus blasii"
"1022",23178,"Zaedyus pichiy"
"1023",10107,"Hipposideros papua"
"1029",948,"Alticola albicaudus"
"1031",136539,"Monticolomys koopmani"
"1034",42639,"Synaptomys cooperi"
"1037",7782,"Eolagurus luteus"
"1040",39761,"Nycticebus javanicus"
"1041",136678,"Myotis dieteri"
"1042",19571,"Rhinolophus subrufus"
"1051",41546,"Alouatta sara"
"1052",9100,"Gerbillus nancillus"
"1053",5829,"Ctenomys torquatus"
"1054",41317,"Crocidura cinderella"
"1055",42617,"Myodes gapperi"
"1059",39751,"Microcebus ravelobensis"
"1060",23147,"Xerus rutilus"
"1063",136500,"Presbytis natunae"
"1064",18753,"Pteropus pumilus"
"1081",3617,"Calomys tener"
"1082",40526,"Antechinus stuartii"
"1083",10754,"Hystrix sumatrae"
"1084",40631,"Crocidura fuliginosa"
"1085",12832,"Marmota sibirica"
"1087",136245,"Thrichomys pachyurus"
"1088",6676,"Dipodomys gravipes"
"1089",2531,"Balantiopteryx infusca"
"1091",41645,"Ictonyx libyca"
"1097",7806,"Eozapus setchuanus"
"1098",5792,"Ctenodactylus gundi"
"1099",273,"Acomys russatus"
"1101",12941,"Megadontomys nelsoni"
"1102",43891,"Chiropotes chiropotes"
"1103",13961,"Mus fernandoni"
"1107",16690,"Peromyscus slevini"
"1108",17327,"Pipistrellus anthonyi"
"1109",29680,"Vormela peregusna"
"1116",20014,"Sciurus lis"
"1120",29668,"Sorex raddei"
"1121",41769,"Hylochoerus meinertzhageni"
"1144",42620,"Dicrostonyx nelsoni"
"1147",41490,"Dendrogale murina"
"1150",731,"Akodon dayi"
"1151",136330,"Nesomys lambertoni"
"1152",41316,"Amblysomus hottentotus"
"1153",45071,"Otomys burtoni"
"1154",136448,"Natalus espiritosantensis"
"1155",39948,"Saguinus imperator"
"1157",5706,"Crunomys melanius"
"1160",6293,"Dasypus septemcinctus"
"1161",136808,"Pseudomys calabyi"
"1162",4658,"Chionomys gud"
"1170",136601,"Ctenomys fodax"
"1171",2827,"Blarinomys breviceps"
"1172",18358,"Propithecus diadema"
"1174",10752,"Hystrix javanica"
"1181",954,"Alticola roylei"
"1182",41385,"Sorex arcticus"
"1183",136785,"Rattus omichlodes"
"1184",15615,"Transandinomys talamancae"
"1188",16981,"Philetor brachypterus"
"1208",2396,"Loxodontomys micropus"
"1214",8204,"Eulemur albifrons"
"1216",136564,"Otomops madagascariensis"
"1221",13435,"Neodon irene"
"1222",16719,"Petaurista elegans"
"1232",199835,"Thylamys citellus"
"1233",20482,"Spermophilus dauricus"
"1234",41373,"Cryptotis meridensis"
"1235",13237,"Mesomys stimulax"
"1236",10110,"Hipposideros armiger"
"1242",18509,"Pseudochirulus herbertensis"
"1244",44792,"Glauconycteris curryae"
"1245",14699281,"Callicebus caquetensis"
"1246",136733,"Crocidura indochinensis"
"1251",9458,"Grammomys macmillani"
"1254",11345,"Lasiurus cinereus"
"1273",1141,"Ammodorcas clarkei"
"1276",41336,"Crocidura maxi"
"1318",4417,"Chalinolobus gouldii"
"1325",12814,"Marmosa lepida"
"1333",12913,"Mazama chunyi"
"1334",15310,"Leopardus geoffroyi"
"1335",22842,"Vampyrodes caraccioli"
"1337",18701,"Pteromys momonga"
"1341",21515,"Gerbilliscus kempi"
"1342",17882,"Pogonomys championi"
"1343",20473,"Spermophilus brunneus"
"1348",20017,"Sciurus oculatus"
"1349",22041,"Trachypithecus pileatus"
"1353",4806,"Chrotogale owstoni"
"1354",136241,"Monodelphis umbristriatus"
"1357",19411,"Reithrodontomys mexicanus"
"1360",9737,"Harpiocephalus mordax"
"1367",13491,"Microtus savii"
"1370",39760,"Nycticebus menagensis"
"1377",40568,"Onychogalea unguifera"
"1379",136392,"Monodelphis reigi"
"1381",44722,"Loris lydekkerianus"
"1386",6567,"Dicrostonyx nunatakensis"
"1387",17032,"Phocoenoides dalli"
"1389",23146,"Xerus princeps"
"1390",136738,"Sphiggurus melanurus"
"1391",14326,"Spalax ehrenbergi"
"1395",14604,"Nesotragus moschatus"
"1399",29651,"Crocidura leucodon"
"1402",9976,"Hesperoptenus doriae"
"1404",9116,"Gerbillus dasyurus"
"1405",14175,"Myotis longipes"
"1411",21328,"Taeromys arcuatus"
"1412",18762,"Pteropus temminckii"
"1415",40776,"Arielulus societatis"
"1416",556,"Aeromys tephromelas"
"1422",40576,"Cercartetus concinnus"
"1425",6773,"Dobsonia chapmani"
"1428",12264,"Lonchophylla dekeyseri"
"1429",13637,"Cynomops abrasus"
"1430",136441,"Nyctimene keasti"
"1439",39591,"Myodes rex"
"1447",20395,"Sorex stizodon"
"1448",4316,"Chaerephon plicatus"
"1480",136318,"Sorex arunchi"
"1482",62006,"Amblysomus corriae"
"1483",136227,"Philander deltae"
"1484",16730,"Petaurus australis"
"1496",12273,"Lonchorhina orinocensis"
"1497",21516,"Gerbilliscus leucogaster"
"1498",42655,"Spalax zemni"
"1499",8763,"Funisciurus substriatus"
"1500",41501,"Tupaia tana"
"1513",4679,"Chiropodomys calamianensis"
"1533",5613,"Crocidura palawanensis"
"1535",21769,"Thomasomys aureus"
"1538",14147,"Myotis austroriparius"
"1539",20429,"Spalax giganteus"
"1540",40564,"Macropus parryi"
"1542",13168,"Meriones sacramenti"
"1543",15598,"Handleyomys intectus"
"1544",44172,"Tragelaphus derbianus"
"1547",5793,"Ctenodactylus vali"
"1549",12308,"Lophiomys imhausi"
"1553",15629,"Osgoodomys banderanus"
"1554",21988,"Lophostoma silvicolum"
"1556",8762,"Funisciurus pyrropus"
"1560",10983,"Kerivoula pellucida"
"1567",42572,"Tamias minimus"
"1568",19606,"Rhipidomys caucensis"
"1569",19824,"Saguinus tripartitus"
"1570",39314,"Pattonomys occasius"
"1572",41326,"Crocidura lamottei"
"1573",13439,"Phaiomys leucurus"
"1574",1307,"Anisomys imitator"
"1576",14934,"Nycteris major"
"1578",20072,"Scotophilus robustus"
"1579",41636,"Spilogale putorius"
"1582",44165,"Poiana leightoni"
"1586",14142,"Myotis annectans"
"1591",18715,"Pteropus alecto"
"1646",1890,"Apodemus chevrieri"
"1649",18386,"Protoxerus stangeri"
"1653",18550,"Pseudomys fumeus"
"1660",3326,"Bunolagus monticularis"
"1661",136529,"Hylaeamys perenensis"
"1662",39925,"Lagothrix cana"
"1664",11493,"Lemniscomys rosalia"
"1668",136654,"Taeromys microbullatus"
"1669",13977,"Mus phillipsi"
"1670",21809,"Thomomys idahoensis"
"1672",39838,"Semnopithecus hypoleucos"
"1673",10550,"Hylobates moloch"
"1674",39832,"Semnopithecus entellus"
"1676",10879,"Isothrix pagurus"
"1677",136828,"Nyctalus plancyi"
"1684",13703,"Monodelphis unistriatus"
"1685",41372,"Cryptotis goodwini"
"1686",18507,"Pseudochirulus caroli"
"1687",17037,"Phodopus sungorus"
"1689",18298,"Trinomys setosus"
"1690",10589,"Hylomys parvus"
"1691",12891,"Maxomys alticola"
"1692",16023,"Pappogeomys alcorni"
"1695",40641,"Pseudochirulus schlegeli"
"1696",14591,"Neotoma micropus"
"1697",20024,"Sciurus variegatoides"
"1698",20213,"Sigmodon hispidus"
"1701",13974,"Mus orangiae"
"1702",17359,"Falsistrellus petersi"
"1710",14170,"Myotis keaysi"
"1714",40624,"Crocidura crossei"
"1715",40552,"Isoodon macrourus"
"1732",12795,"Margaretamys beccarii"
"1733",13945,"Murina rozendaali"
"1735",16666,"Peromyscus gymnotis"
"1736",44695,"Nycteris parisii"
"1738",41412,"Sorex portenkoi"
"1739",859,"Allactaga sibirica"
"1741",20006,"Sciurus aureogaster"
"1743",13436,"Neodon juldaschi"
"1745",19617,"Rhipidomys venustus"
"1747",22732,"Panthera uncia"
"1750",40602,"Atelerix albiventris"
"1751",14208,"Myotis velifer"
"1753",15953,"Panthera onca"
"1801",41368,"Crocidura zaphiri"
"1804",8542,"Felis nigripes"
"1805",12560,"Macaca sinica"
"1808",13379,"Micronycteris megalotis"
"1814",13940,"Murina fusca"
"1815",13972,"Mus musculus"
"1847",16747,"Petrogale persephone"
"1850",1899,"Apodemus peninsulae"
"1856",40766,"Nilopegamys plumbeus"
"1857",16971425,"Microcebus macarthurii"
"1858",569,"Aethomys chrysophilus"
"1861",136822,"Thomasomys cinnameus"
"1862",40507,"Marmosa rubra"
"1863",10708,"Hyperoodon planifrons"
"1864",21770,"Thomasomys baeops"
"1865",2787,"Bettongia tropica"
"1869",136427,"Lophostoma yasuni"
"1870",2478,"Balaenoptera physalus"
"1872",2770,"Berylmys manipulus"
"1873",42603,"Dipodomys microps"
"1874",4601,"Cheiromeles torquatus"
"1884",136325,"Eliurus ellermani"
"1886",41679,"Potos flavus"
"1888",41453,"Blarina hylophaga"
"1889",5814,"Ctenomys mendocinus"
"1890",18339,"Prometheomys schaposchnikowi"
"1895",41266,"Ochotona pallasi"
"1907",9145,"Gerbillus pyramidum"
"1908",136526,"Rattus arfakienis"
"1909",12356,"Lophuromys sikapusi"
"1911",41277,"Lepus capensis"
"1935",15784,"Oxymycterus delator"
"1937",3555,"Callicebus personatus"
"1938",136214,"Sciurocheirus gabonensis"
"1940",17877,"Pogonomelomys bruijnii"
"1942",5593,"Crocidura selina"
"1944",10911,"Jaculus blanfordi"
"1949",41349,"Crocidura parvipes"
"1950",13128,"Melomys obiensis"
"1952",3333,"Bunomys prolatus"
"1953",4989,"Clyomys laticeps"
"1954",13645,"Molossus aztecus"
"1962",19527,"Rhinolophus borneensis"
"1982",41399,"Sorex haydeni"
"1983",41598,"Dologale dybowskii"
"1986",136689,"Calomys expulsus"
"1987",136459,"Proedromys liangshanensis"
"1988",41377,"Cryptotis parva"
"1992",754,"Abrothrix sanborni"
"1993",12816,"Marmosa tyleriana"
"1996",45096,"Stenocephalemys ruppi"
"1997",13426,"Microtus agrestis"
"2047",19347,"Rattus mollicomulus"
"2048",6282,"Dasyprocta guamara"
"2049",730,"Akodon cursor"
"2051",18729,"Pteropus hypomelanus"
"2141",41375,"Cryptotis montivaga"
"2142",41340,"Crocidura mutesae"
"2144",13654,"Neomonachus schauinslandi"
"2145",136795,"Cryptotis colombiana"
"2146",17356,"Pipistrellus paterculus"
"2150",9245,"Glironia venusta"
"2153",10121,"Hipposideros coronatus"
"2156",136234,"Ctenomys dorbignyi"
"2159",136618,"Soricomys kalinga"
"2160",2135,"Artibeus jamaicensis"
"2180",10138,"Hipposideros hypophyllus"
"2181",16122,"Paraleptomys wilhelmina"
"2183",14179,"Myotis martiniquensis"
"2185",20189,"Sicista kazbegica"
"2187",9492,"Graphiurus rupicola"
"2190",39943,"Callicebus nigrifrons"
"2191",18291,"Proechimys mincae"
"2192",4149,"Cephalophus rufilatus"
"2194",18570,"Pseudomys nanus"
"2213",10595,"Hylomyscus carillus"
"2214",16724,"Petaurista philippensis"
"2230",9140,"Gerbillus perpallidus"
"2231",136765,"Nyctalus furvus"
"2235",21521,"Taterillus arenarius"
"2236",20430,"Spalax microphthalmus"
"2237",3786,"Capra aegagrus"
"2257",15088,"Octodon degus"
"2258",14922,"Nyctalus azoreum"
"2265",16028,"Cratogeomys merriami"
"2266",14098,"Myonycteris relicta"
"2268",2982,"Brachyphylla cavernarum"
"2288",13461,"Microtus bavaricus"
"2289",10162,"Hipposideros speoris"
"2292",10165,"Hipposideros turpis"
"2299",136466,"Cuscomys ashaninka"
"2300",6924,"Atelocynus microtis"
"2301",14869,"Notomys mitchellii"
"2303",136824,"Natalus jamaicensis"
"2306",13840,"Mops demonstrator"
"2307",45093,"Stenocephalemys albipes"
"2311",136680,"Myotis alcathoe"
"2317",16655,"Peromyscus caniceps"
"2318",41495,"Tupaia gracilis"
"2323",40579,"Petauroides volans"
"2327",9978,"Hesperoptenus tickelli"
"2335",9832,"Heliosciurus punctatus"
"2336",10111,"Hipposideros ater"
"2413",136659,"Leptonycteris yerbabuenae"
"2415",9609,"Habromys lepturus"
"2416",5819,"Ctenomys pearsoni"
"2417",18297,"Proechimys semispinosus"
"2419",23091,"Wyulda squamicaudata"
"2423",42678,"Reithrodontomys humulis"
"2424",6821,"Dremomys lokriah"
"2426",11509,"Leopardus pardalis"
"2427",18419,"Psammomys vexillaris"
"2428",41592,"Bdeogale nigripes"
"2429",9089,"Geoxus valdivianus"
"2435",19576,"Rhinolophus yunanensis"
"2439",136233,"Miniopterus paululus"
"2448",23077,"Wilfredomys oenax"
"2450",29655,"Crocidura sicula"
"2455",21161,"Sundasciurus rabori"
"2456",42565,"Sundasciurus davensis"
"2457",15597,"Mindomys hammondi"
"2458",39926,"Lagothrix lugens"
"2461",40037,"Rhinolophus convexus"
"2463",136760,"Chodsigoa sodalis"
"2464",17596,"Plecotus auritus"
"2472",41362,"Crocidura theresae"
"2474",41322,"Crocidura hildegardeae"
"2475",41768,"Phacochoerus africanus"
"2476",21513,"Gerbilliscus inclusus"
"2478",12819,"Marmosops fuscatus"
"2482",41670,"Histriophoca fasciata"
"2483",4225,"Cercopithecus petaurista"
"2492",11510,"Leopardus tigrinus"
"2494",9660,"Halichoerus grypus"
"2499",29679,"Mustela eversmanii"
"2501",42458,"Marmota monax"
"2502",41288,"Lepus townsendii"
"2503",44931,"Plecotus christii"
"2505",5635,"Crocidura macowi"
"2506",136315,"Orcaella heinsohni"
"2509",11979,"Limnogale mergulus"
"2510",41781,"Tragulus napu"
"2548",136293,"Muntiacus puhoatensis"
"2549",12797,"Margaretamys parvus"
"2551",13960,"Mus famulus"
"2553",13349,"Microgale parvula"
"2557",39957,"Alouatta belzebul"
"2561",41509,"Sminthopsis granulipes"
"2563",40504,"Marmosa mexicana"
"2566",41558,"Callicebus brunneus"
"2567",4671,"Chironectes minimus"
"2580",11384,"Leggadina lakedownensis"
"2585",21160,"Sundasciurus philippinensis"
"2593",136682,"Phyllomys kerri"
"2594",19551,"Rhinolophus malayanus"
"2596",2823,"Blanfordimys afghanus"
"2600",41540,"Aotus nancymaae"
"2601",4627,"Chibchanomys trichotis"
"2603",5566,"Crocidura glassi"
"2606",9736,"Harpiocephalus harpia"
"2629",10131,"Hipposideros durgadasi"
"2630",136247,"Erophylla bombifrons"
"2632",136668,"Dendrolagus mayri"
"2633",136810,"Rhogeessa aeneus"
"2634",11047,"Kogia breviceps"
"2635",14921,"Nyctalus aviator"
"2648",18127,"Presbytis frontata"
"2653",3778,"Caperea marginata"
"2654",41398,"Sorex gracillimus"
"2668",18355,"Propithecus coquereli"
"2669",136221,"Trinomys gratiosus"
"2670",136490,"Spermophilus brevicauda"
"2671",21135,"Surdisorex polulus"
"2672",7923,"Vespadelus douglasorum"
"2674",29466,"Proechimys gardneri"
"2675",42691,"Mico emiliae"
"2676",9194,"Giraffa camelopardalis"
"2700",136378,"Platyrrhinus matapalensis"
"2701",2893,"Boselaphus tragocamelus"
"2702",8994,"Genetta abyssinica"
"2704",9240,"Glaucomys volans"
"2712",6608,"Dinomys branickii"
"2713",14118,"Eospalax fontanierii"
"2715",12520,"Lynx pardinus"
"2772",44795,"Glauconycteris humeralis"
"2773",136287,"Punomys kofordi"
"2774",14177,"Myotis macrodactylus"
"2784",22933,"Vernaya fulva"
"2786",136681,"Ctenomys yolandae"
"2787",13976,"Mus pahari"
"2790",21514,"Tatera indica"
"2792",12831,"Marmota camtschatica"
"2803",39929,"Callicebus barbarabrownae"
"2804",13486,"Microtus thomasi"
"2808",20221,"Sigmodontomys alfari"
"2809",41754,"Neophocaena asiaeorientalis"
"2811",23211,"Ziphius cavirostris"
"2813",11346,"Lasiurus blossevillii"
"2815",40527,"Dasykaluta rosamondae"
"2818",136436,"Juscelinomys guaporensis"
"2819",1569,"Anoura luismanueli"
"2820",3519,"Calcochloris obtusirostris"
"2821",740,"Abrothrix lanosus"
"2823",3127,"Bubalus mindorensis"
"2826",12763,"Manis javanica"
"2849",17830,"Podomys floridanus"
"2850",42189,"Muntiacus atherodes"
"2851",12268,"Lonchophylla robusta"
"2854",16720,"Petaurista leucogenys"
"2859",15048,"Ochotona forresti"
"2860",16971364,"Microcebus margotmarshae"
"2861",7623,"Eliurus myoxinus"
"2863",41700,"Genetta servalina"
"2868",5633,"Crocidura harenna"
"2869",18757,"Pteropus samoensis"
"2884",21527,"Taterillus petteri"
"2885",39594,"Paraechinus nudiventris"
"2888",41461,"Euroscaptor longirostris"
"2899",3604,"Callosciurus pygerythrus"
"2901",3621,"Calomyscus mystax"
"2902",21331,"Taeromys hamatus"
"2905",7905,"Epomophorus minimus"
"2910",7010,"Echinoprocta rufescens"
"2911",14817,"Niviventer culturatus"
"2912",41282,"Lepus nigricollis"
"2919",14362,"Natalus tumidirostris"
"2924",12353,"Lophuromys flavopunctatus"
"2949",6103,"Cynopterus brachyotis"
"2958",11482,"Lemmus sibiricus"
"2967",19589,"Rhinonicteris aurantia"
"2971",7926,"Eptesicus floweri"
"2972",136787,"Alouatta puruensis"
"2973",19554,"Rhinolophus mitratus"
"2974",29658,"Neomys fodiens"
"2979",8553,"Feroculus feroculus"
"2983",22054,"Tragelaphus strepsiceros"
"2995",11141,"Lagenorhynchus acutus"
"2996",136838,"Cryptotis orophila"
"2997",21174,"Sus verrucosus"
"3015",8166,"Euderma maculatum"
"3017",136363,"Natalus mexicanus"
"3018",44781,"Rhinolophus hilli"
"3019",16018,"Papio papio"
"3020",6860,"Chaetocauda sichuanensis"
"3021",14741,"Neusticomys mussoi"
"3022",6979,"Echimys chrysurus"
"3023",899,"Vulpes lagopus"
"3079",13942,"Murina huttoni"
"3084",6279,"Dasyprocta coibae"
"3085",15617,"Hylaeamys yunganus"
"3086",41506,"Caenolestes fuliginosus"
"3088",10313,"Hydromys neobritannicus"
"3089",18281,"Trinomys dimidiatus"
"3090",41547,"Ateles chamek"
"3091",13494,"Microtus lusitanicus"
"3092",136292,"Histiotus magellanicus"
"3094",14475,"Nectomys squamipes"
"3095",21973,"Tokudaia osimensis"
"3097",5813,"Ctenomys maulinus"
"3098",565,"Aethalops alecto"
"3106",41405,"Sorex monticolus"
"3129",42658,"Elephantulus brachyrhynchus"
"3130",3904,"Carollia castanea"
"3131",41694,"Paradoxurus zeylonensis"
"3136",41356,"Crocidura sibirica"
"3138",11050,"Komodomys rintjanus"
"3144",575,"Aethomys stannarius"
"3145",3787,"Capra falconeri"
"3205",41335,"Crocidura maurisca"
"3207",136410,"Rhinolophus madurensis"
"3209",15609,"Eremoryzomys polius"
"3210",2137,"Artibeus obscurus"
"3211",42651,"Neotoma stephensi"
"3212",14114,"Myosorex sclateri"
"3213",20951,"Sturnira bogotensis"
"3214",41606,"Herpestes sanguineus"
"3217",41622,"Paracynictis selousi"
"3218",10982,"Phoniscus papuensis"
"3223",12650,"Macrotis lagotis"
"3233",5577,"Crocidura monax"
"3237",19485,"Rheomys raptor"
"3239",6929,"Pseudalopex culpaeus"
"3265",20004,"Sciurus alleni"
"3266",39924,"Oreonax flavicauda"
"3269",7017,"Echymipera davidi"
"3270",13006,"Megaptera novaeangliae"
"3271",136298,"Chodsigoa parva"
"3272",23324,"Zyzomys pedunculatus"
"3273",13235,"Mesomys leniceps"
"3274",18713,"Pteropus admiralitatum"
"3330",13388,"Microperoryctes longicauda"
"3333",39250,"Ovis dalli"
"3375",22784,"Urogale everetti"
"3378",6686,"Dipodomys deserti"
"3379",39956,"Chiropotes satanas"
"3380",13638,"Molossops aequatorianus"
"3381",136581,"Spalax uralensis"
"3382",136630,"Dipodomys simulans"
"3384",14936,"Nycteris thebaica"
"3403",18289,"Proechimys longicaudatus"
"3404",19591,"Rhinophylla alethina"
"3405",41628,"Mydaus javanensis"
"3413",41582,"Mico manicorensis"
"3414",20059,"Scotonycteris ophiodon"
"3416",5085,"Coendou prehensilis"
"3418",6569,"Dicrostonyx vinogradovi"
"3419",7579,"Eligmodontia puerulus"
"3420",11340,"Lasiopodomys brandtii"
"3421",10547,"Hylobates klossii"
"3425",42594,"Thomomys bulbivorus"
"3426",20089,"Sekeetamys calurus"
"3428",4226,"Cercopithecus pogonias"
"3439",3921,"Carterodon sulcidens"
"3440",136756,"Nectomys apicalis"
"3442",42569,"Tamias amoenus"
"3444",4037,"Catopuma badia"
"3445",42579,"Tamias senex"
"3446",136312,"Thomasomys praetor"
"3447",13959,"Mus crociduroides"
"3448",15485,"Oreotragus oreotragus"
"3455",14087,"Myomimus roachi"
"3460",17574,"Platyrrhinus vittatus"
"3461",21184,"Syconycteris carolinae"
"3463",5799,"Ctenomys bonettoi"
"3464",8241,"Eumops auripendulus"
"3467",10642,"Hyperacrius fertilis"
"3468",14111,"Myosorex blarina"
"3469",22432,"Tscherskia triton"
"3470",19378,"Ratufa indica"
"3478",4803,"Abrothrix andinus"
"3479",10276,"Hyaena brunnea"
"3482",22052,"Tragelaphus angasii"
"3487",8787,"Galago matschiei"
"3490",512,"Addax nasomaculatus"
"3496",17004,"Phloeomys pallidus"
"3498",41642,"Nomascus nasutus"
"3499",136534,"Styloctenium mindorensis"
"3500",16723,"Petaurista petaurista"
"3512",19802,"Saccolaimus saccolaimus"
"3565",2475,"Balaenoptera borealis"
"3566",2466,"Baiomys taylori"
"3567",41281,"Lepus mandshuricus"
"3568",4144,"Cephalophus natalensis"
"3570",42633,"Microtus pinetorum"
"3573",136257,"Anourosorex yamashinai"
"3574",20019,"Sciurus pyrrhinus"
"3575",2144,"Arvicanthis abyssinicus"
"3576",16467,"Pedetes capensis"
"3577",19523,"Rhinolophus alcyone"
"3583",21293,"Tachyoryctes macrocephalus"
